Load Date,Actual,SARIMAX Full,SARIMAX Restricted,XGBoost Full,XGBoost Restricted,XGBoost No Weather,Seasonal Naïve
2025-02-06,13.035087238095524,13.032298958773511,13.032723847449022,13.00074,12.999985,12.992535,13.04649477933492
2025-02-07,13.048202173064569,13.062654182855617,13.063336367468782,13.031452,13.028465,13.035332,13.06628814142126
2025-02-08,13.028397693360375,13.018972710205059,13.018067356573166,12.998382,12.996269,12.992314,13.046736406001326
2025-02-09,13.039955207563144,13.0472915990519,13.042978929830156,13.005173,13.00324,13.007968,13.04832924867796
2025-02-10,13.087542092558907,13.102684490053697,13.100305047649208,13.08439,13.083021,13.122172,13.093716958814207
2025-02-11,13.07124690948732,13.083041527246342,13.082503012853255,13.075786,13.074501,13.088066,13.054005304390186
2025-02-12,13.094095581455424,13.090375741418331,13.081739723747349,13.067232,13.067149,13.050771,13.008267037525936
2025-02-13,13.08834940561664,13.113796254735483,13.113780485442893,13.0806055,13.08238,13.080121,13.035087238095524
2025-02-14,13.111498568543578,13.13302045688704,13.130808457386362,13.072014,13.071673,13.063618,13.048202173064569
2025-02-15,13.075089363298304,13.11420587841485,13.108323721177722,13.041775,13.042903,13.0387125,13.028397693360375
2025-02-16,13.100199564702606,13.11682129418914,13.102525054456525,13.0484495,13.055182,13.044283,13.039955207563144
2025-02-17,13.128090943537051,13.171824084920296,13.167554923585769,13.128655,13.128406,13.135389,13.087542092558907
2025-02-18,13.113017843624537,13.14753754418625,13.143348953421096,13.110469,13.113869,13.109172,13.07124690948732
2025-02-19,13.131122900517408,13.135712442116683,13.126110689367364,13.098014,13.09526,13.083444,13.094095581455424
2025-02-20,13.117292542424485,13.120994797937072,13.124491249120155,13.1016,13.101416,13.118447,13.08834940561664
2025-02-21,13.042514650915226,13.053257598531715,13.06509778952804,13.056628,13.039668,13.106684,13.111498568543578
2025-02-22,12.946768744041618,12.941014680702946,12.949746156554259,12.933205,12.933485,12.965944,13.075089363298304
2025-02-23,12.918975883674497,12.914661179289318,12.91806636870277,12.911812,12.908197,12.932637,13.100199564702606
2025-02-24,12.975541774160885,12.944418717397433,12.94840604906109,12.9420395,12.941175,12.992212,13.128090943537051
2025-02-25,12.980055296367404,12.957519773989205,12.960095115472049,12.956451,12.960888,12.997775,13.113017843624537
2025-02-26,12.994150388394292,12.969899993419752,12.966219151280388,12.966519,12.969487,12.997235,13.131122900517408
2025-02-27,13.000999939751573,13.003160557273176,13.00574134219119,12.99276,12.992351,13.013206,13.117292542424485
2025-02-28,13.02641399335249,13.019676127197805,13.021938357867587,12.991858,12.990553,13.002221,13.042514650915226
2025-03-01,12.981997252547687,12.973819110579818,12.976265120338088,12.952789,12.957248,12.980178,12.946768744041618
2025-03-02,12.939932214603855,12.93478853055015,12.93977705342774,12.910939,12.910588,12.943641,12.918975883674497
2025-03-03,12.965176091752808,12.95819339143077,12.962884048465689,12.941493,12.943699,12.996308,12.975541774160885
2025-03-04,12.96893943344058,12.936145105124506,12.940300674086341,12.928655,12.925287,12.962162,12.980055296367404
2025-03-05,12.94353570986463,12.921243985115346,12.922665330611665,12.9094925,12.909274,12.957495,12.994150388394292
2025-03-06,12.9117954207919,12.919734319587722,12.92725789109723,12.905722,12.904303,12.945837,13.000999939751573
2025-03-07,12.92827850328998,12.929108243310965,12.93260506971679,12.90178,12.896002,12.912905,13.02641399335249
2025-03-08,12.907361591781742,12.903015668924475,12.903002132139601,12.881325,12.887952,12.890448,12.981997252547687
2025-03-09,12.908670031901606,12.904825142351559,12.904780349959886,12.868478,12.873452,12.896683,12.939932214603855
2025-03-10,12.97145211167168,12.975828750576685,12.974414093760906,12.957694,12.954603,12.965974,12.965176091752808
2025-03-11,13.002987323567986,12.999237007112079,12.995795200850452,12.975602,12.97787,12.970929,12.96893943344058
2025-03-12,13.031096412778234,13.029809580786496,13.020961421827327,13.001832,13.000082,13.007885,12.94353570986463
2025-03-13,13.02093290677063,13.073356253959947,13.071097752882023,13.023991,13.017828,13.032837,12.9117954207919
2025-03-14,13.040133279135356,13.060416566510462,13.05968806350853,13.018655,13.015395,13.00943,12.92827850328998
2025-03-15,12.982333199057118,12.992755501850436,12.994348582843958,12.966352,12.964635,12.999965,12.907361591781742
2025-03-16,12.955181830072688,12.973367845776592,12.973288443137672,12.939077,12.93869,12.94686,12.908670031901606
2025-03-17,12.997414478165163,13.012363142787356,13.011720036526903,12.988066,13.000419,13.019233,12.97145211167168
2025-03-18,12.962258003524752,12.971466532941784,12.97483292580009,12.964872,12.966495,12.994091,13.002987323567986
2025-03-19,12.94890244904257,12.961574068692478,12.956849383317682,12.949107,12.950886,12.954048,13.031096412778234
2025-03-20,12.958203101634428,12.974947098947737,12.97580694392664,12.954204,12.956391,12.954538,13.02093290677063
2025-03-21,12.932521614610495,12.971273738783685,12.974783922759823,12.946415,12.950252,12.960276,13.040133279135356
2025-03-22,12.864765535475517,12.897895802764008,12.899071917030877,12.875505,12.873427,12.890522,12.982333199057118
2025-03-23,12.849062728092184,12.876269343929085,12.87486875309932,12.84608,12.842378,12.846902,12.955181830072688
2025-03-24,12.93210319292483,12.929992984963018,12.92745912191856,12.9146,12.915521,12.917366,12.997414478165163
2025-03-25,12.92021292096908,12.915029889411201,12.917992893438235,12.887677,12.891293,12.941338,12.962258003524752
2025-03-26,12.915174372737203,12.908259213789965,12.905523620822228,12.883714,12.881707,12.921558,12.94890244904257
2025-03-27,12.90325915699751,12.910499148911281,12.915825275007,12.8894825,12.889448,12.920124,12.958203101634428
2025-03-28,12.869935186262625,12.906047067684433,12.911568062213467,12.86197,12.865304,12.903659,12.932521614610495
2025-03-29,12.85488646560039,12.85224431271364,12.851917544642834,12.806203,12.807421,12.818691,12.864765535475517
2025-03-30,12.861193399492658,12.875961497624658,12.873410277220248,12.833122,12.82019,12.844685,12.849062728092184
2025-03-31,12.89682947146748,12.917590730783505,12.9181620299212,12.903329,12.898003,12.931086,12.93210319292483
2025-04-01,12.851973594443248,12.873913649596492,12.878067089419911,12.83167,12.831198,12.875196,12.92021292096908
2025-04-02,12.81917503508108,12.840262917994266,12.838301480589703,12.805135,12.806029,12.838564,12.915174372737203
2025-04-03,12.817689762851485,12.842756583191942,12.845475475026994,12.804403,12.806096,12.824797,12.90325915699751
2025-04-04,12.855006671413792,12.88162415906248,12.88005961880971,12.819519,12.82253,12.820812,12.869935186262625
2025-04-05,12.83049656111321,12.855043600967294,12.852545824077971,12.796974,12.796605,12.802734,12.85488646560039
